element_id,name
4:21a121b1-edc6-4f27-92d9-a818cb434acd:88,combinatorial approaches
4:21a121b1-edc6-4f27-92d9-a818cb434acd:89,Cells in homogeneous or heterogeneous association
4:21a121b1-edc6-4f27-92d9-a818cb434acd:90,Biological multi-omics analyses
4:21a121b1-edc6-4f27-92d9-a818cb434acd:91,Dynamic-mechanical analysis of cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:92,Malignant pleural mesothelioma
4:21a121b1-edc6-4f27-92d9-a818cb434acd:93,aggressive cancer of the pleural lining
4:21a121b1-edc6-4f27-92d9-a818cb434acd:94,asbestos exposure
4:21a121b1-edc6-4f27-92d9-a818cb434acd:95,Epithelial-mesenchymal transition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:96,MPM pathogenesis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:97,MPM metastasis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:98,MPM resistance to therapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:99,TGF-β signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:100,EMT in MPM
4:21a121b1-edc6-4f27-92d9-a818cb434acd:101,Wnt/β-catenin signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:102,PI3K/Akt signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:103,EMT-related biomarkers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:104,diagnostic significance in MPM
4:21a121b1-edc6-4f27-92d9-a818cb434acd:105,prognostic significance in MPM
4:21a121b1-edc6-4f27-92d9-a818cb434acd:106,Targeted therapies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:107,reversing EMT
4:21a121b1-edc6-4f27-92d9-a818cb434acd:108,EMT-induced vulnerabilities
4:21a121b1-edc6-4f27-92d9-a818cb434acd:109,MARS 2 trial
4:21a121b1-edc6-4f27-92d9-a818cb434acd:110,clinical trial related to MPM treatment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:111,Bone morphogenetic proteins
4:21a121b1-edc6-4f27-92d9-a818cb434acd:112,"developmental processes such as limb, kidney and lung formation, cell fate determination, cell proliferation, and apoptosis"
4:21a121b1-edc6-4f27-92d9-a818cb434acd:113,a subpopulation of self-renewing cells within tumors that possess stemness properties and a tumor cell-forming capability
4:21a121b1-edc6-4f27-92d9-a818cb434acd:114,"growth, metastasis, treatment resistance and cancer recurrence"
4:21a121b1-edc6-4f27-92d9-a818cb434acd:115,Tumor microenvironment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:116,"onset, progression and treatment resistance in many cancers"
4:21a121b1-edc6-4f27-92d9-a818cb434acd:117,Bone morphogenetic proteins and growth differentiation factors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:118,transforming growth factor-beta in maintenance of CSC pluripotency and cancer cell differentiation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:119,BMP signaling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:120,tumor suppressor in various cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:121,CSC differentiation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:122,stemness characteristics
4:21a121b1-edc6-4f27-92d9-a818cb434acd:123,Differentiation process
4:21a121b1-edc6-4f27-92d9-a818cb434acd:124,self-renewal capacity of CSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:125,Self-renewal capacity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:126,GREMLIN1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:127,a secreted antagonist of BMPs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:128,"human cancers such as gastric, colorectal, glioblastoma, and breast cancer"
4:21a121b1-edc6-4f27-92d9-a818cb434acd:129,GREMLIN1 overexpression
4:21a121b1-edc6-4f27-92d9-a818cb434acd:130,Inhibition of BMP signaling by GREMLIN1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:131,maintenance of pluripotency in CSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:132,Maintenance of pluripotency in CSCs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:133,tumorigenesis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:134,CSC immune evasion
4:21a121b1-edc6-4f27-92d9-a818cb434acd:135,fibroblast growth factor to Sonic hedgehog signaling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:136,Wnt/Frizzled pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:137,Fibroblast growth factor to Sonic hedgehog signaling and Wnt/Frizzled pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:138,maintenance of CSC stemness
4:21a121b1-edc6-4f27-92d9-a818cb434acd:139,Inhibiting GREMLIN1
4:21a121b1-edc6-4f27-92d9-a818cb434acd:140,CSC burden in cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:141,patient outcomes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:142,malignant pathology
4:21a121b1-edc6-4f27-92d9-a818cb434acd:143,Drug resistance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:144,poor prognosis of neoplastic diseases
4:21a121b1-edc6-4f27-92d9-a818cb434acd:145,utility of therapeutic protocols
4:21a121b1-edc6-4f27-92d9-a818cb434acd:146,Autophagy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:147,nutrient recycling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:148,metabolic adaptation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:149,Autophagy inhibition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:150,response to cancer therapeutics
4:21a121b1-edc6-4f27-92d9-a818cb434acd:151,Lysosomes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:152,autophagy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:153,anticancer treatment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:154,Lysosome-associated membrane glycoproteins (LAMPs)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:155,cancer development
4:21a121b1-edc6-4f27-92d9-a818cb434acd:156,LAMPs
4:21a121b1-edc6-4f27-92d9-a818cb434acd:157,drug resistance in colorectal cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:158,Allogeneic hematopoietic stem cell transplantation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:159,acute myeloid leukemia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:160,Risk stratification
4:21a121b1-edc6-4f27-92d9-a818cb434acd:161,molecular profiling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:162,measurable residual disease assessment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:163,Post-transplant cyclophosphamide
4:21a121b1-edc6-4f27-92d9-a818cb434acd:164,graft-versus-host disease prophylaxis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:165,Advances in risk stratification
4:21a121b1-edc6-4f27-92d9-a818cb434acd:166,outcomes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:167,Advances in conditioning regimens
4:21a121b1-edc6-4f27-92d9-a818cb434acd:168,Advances in graft-versus-host disease prophylaxis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:169,donor selection
4:21a121b1-edc6-4f27-92d9-a818cb434acd:170,transplant eligibility
4:21a121b1-edc6-4f27-92d9-a818cb434acd:171,Chemotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:172,leukemia treatment
4:21a121b1-edc6-4f27-92d9-a818cb434acd:173,Targeted therapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:174,Post-transplant maintenance therapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:175,Artesunate
4:21a121b1-edc6-4f27-92d9-a818cb434acd:176,metastatic potential in cisplatin-resistant bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:177,growth in cisplatin-sensitive bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:178,growth in cisplatin-resistant bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:179,tumor cell adhesion to vascular endothelium in parental bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:180,tumor cell adhesion to vascular endothelium in cisplatin-resistant bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:181,tumor cell adhesion to immobilized collagen in parental bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:182,tumor cell adhesion to immobilized collagen in cisplatin-resistant bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:183,tumor cell motility in bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:184,integrin expression in bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:185,Functional blocking of integrins altered by Artesunate
4:21a121b1-edc6-4f27-92d9-a818cb434acd:186,cell adhesion in bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:187,invasion of bladder cancer cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:188,Systemic lupus erythematosus
4:21a121b1-edc6-4f27-92d9-a818cb434acd:189,radiosensitivity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:190,Chromosomal aberrations
4:21a121b1-edc6-4f27-92d9-a818cb434acd:191,SLE patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:192,chromosomal aberrations than healthy individuals
4:21a121b1-edc6-4f27-92d9-a818cb434acd:193,chromosomal aberrations than cancer patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:194,Non-oncologic SLE patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:195,chromosomal aberrations as healthy individuals
4:21a121b1-edc6-4f27-92d9-a818cb434acd:196,Patients with SLE and cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:197,healthy individuals
4:21a121b1-edc6-4f27-92d9-a818cb434acd:198,patients with isolated cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:199,patients with isolated SLE
4:21a121b1-edc6-4f27-92d9-a818cb434acd:200,45% of patients in oncologic SLE cohort
4:21a121b1-edc6-4f27-92d9-a818cb434acd:201,increased radiosensitivity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:202,Anti-Ro-52 autoantibodies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:203,Radiation dose reduction
4:21a121b1-edc6-4f27-92d9-a818cb434acd:204,11 oncological SLE patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:205,5 oncological SLE patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:206,up to 21% per fraction
4:21a121b1-edc6-4f27-92d9-a818cb434acd:207,Inflammatory bowel disease
4:21a121b1-edc6-4f27-92d9-a818cb434acd:208,ulcerative colitis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:209,Crohn's disease
4:21a121b1-edc6-4f27-92d9-a818cb434acd:210,persistent intestinal inflammation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:211,Disease onset
4:21a121b1-edc6-4f27-92d9-a818cb434acd:212,genetic predisposition
4:21a121b1-edc6-4f27-92d9-a818cb434acd:213,environmental factors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:214,Genetic predisposition and environmental factors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:215,intestinal immune homeostasis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:216,Intestinal microbiome and immune response
4:21a121b1-edc6-4f27-92d9-a818cb434acd:217,disease progression
4:21a121b1-edc6-4f27-92d9-a818cb434acd:218,Advances in molecular therapies and early interventions
4:21a121b1-edc6-4f27-92d9-a818cb434acd:219,surgery rates
4:21a121b1-edc6-4f27-92d9-a818cb434acd:220,significant concern
4:21a121b1-edc6-4f27-92d9-a818cb434acd:221,chronic inflammation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:222,Risk of UC-associated neoplasia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:223,disease duration
4:21a121b1-edc6-4f27-92d9-a818cb434acd:224,Crohn's disease patients
4:21a121b1-edc6-4f27-92d9-a818cb434acd:225,small intestine cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:226,anal fistula cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:227,anal canal cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:228,Endoscopic surveillance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:229,UC-associated neoplasia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:230,UC-associated neoplasia morphology
4:21a121b1-edc6-4f27-92d9-a818cb434acd:231,detection
4:21a121b1-edc6-4f27-92d9-a818cb434acd:232,sporadic colorectal cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:233,dysplasia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:234,p53 mutations
4:21a121b1-edc6-4f27-92d9-a818cb434acd:235,dysplasia stage
4:21a121b1-edc6-4f27-92d9-a818cb434acd:236,IBD-associated gastrointestinal cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:237,inflammation-driven carcinogenesis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:238,adenoma-carcinoma sequence
4:21a121b1-edc6-4f27-92d9-a818cb434acd:239,Chemotherapies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:240,side effects
4:21a121b1-edc6-4f27-92d9-a818cb434acd:241,adverse health implications
4:21a121b1-edc6-4f27-92d9-a818cb434acd:242,Cardiac and microvascular defects
4:21a121b1-edc6-4f27-92d9-a818cb434acd:243,greatest health risk
4:21a121b1-edc6-4f27-92d9-a818cb434acd:244,leading cause of death amongst cancer survivors who do not succumb to relapse
4:21a121b1-edc6-4f27-92d9-a818cb434acd:245,Cardiovascular risk of morbidity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:246,risk of recurrence in many low-grade cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:247,Polyphenols
4:21a121b1-edc6-4f27-92d9-a818cb434acd:248,naturally occurring metabolites
4:21a121b1-edc6-4f27-92d9-a818cb434acd:249,vasoprotective effects
4:21a121b1-edc6-4f27-92d9-a818cb434acd:250,antioxidant activities
4:21a121b1-edc6-4f27-92d9-a818cb434acd:251,anti-inflammatory activities
4:21a121b1-edc6-4f27-92d9-a818cb434acd:252,vascular signalling pathways
4:21a121b1-edc6-4f27-92d9-a818cb434acd:253,vascular toxicity induced by chemotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:254,Cancer risk
4:21a121b1-edc6-4f27-92d9-a818cb434acd:255,dysmetabolic obese or overweight people with overt type 2 diabetes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:256,individuals with intermediate hyperglycemia (pre-diabetes)
4:21a121b1-edc6-4f27-92d9-a818cb434acd:257,25 to 250%
4:21a121b1-edc6-4f27-92d9-a818cb434acd:258,pancreatic cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:259,hepatocellular cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:260,obesity-related cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:261,Obesity-related cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:262,colorectal cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:263,kidney cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:264,bladder cancer in men
4:21a121b1-edc6-4f27-92d9-a818cb434acd:265,endometrial cancer in women
4:21a121b1-edc6-4f27-92d9-a818cb434acd:266,breast cancer in women
4:21a121b1-edc6-4f27-92d9-a818cb434acd:267,Cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:268,diabetes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:269,Insulin resistance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:270,cardiorenal disease
4:21a121b1-edc6-4f27-92d9-a818cb434acd:271,cancer
4:21a121b1-edc6-4f27-92d9-a818cb434acd:272,Hyperinsulinemia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:273,"Ectopic visceral, hepatic, pancreatic, or renal fat accumulation"
4:21a121b1-edc6-4f27-92d9-a818cb434acd:274,inflammation and lipo-oncogenic signals
4:21a121b1-edc6-4f27-92d9-a818cb434acd:275,Inflammation and lipo-oncogenic signals
4:21a121b1-edc6-4f27-92d9-a818cb434acd:276,mitochondrial oxidative stress and deregulation
4:21a121b1-edc6-4f27-92d9-a818cb434acd:277,mitogenic MAP kinase-related signaling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:278,Mitogenic MAP kinase-related signaling
4:21a121b1-edc6-4f27-92d9-a818cb434acd:279,IGF1 receptors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:280,Increased free IGF1 levels in obesity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:281,mitogenic MAP kinase-related signaling via IGF1 receptors
4:21a121b1-edc6-4f27-92d9-a818cb434acd:282,Weight reduction of 10% or more in obese people with diabetes or pre-diabetes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:283,significantly lower incidence of diabesity-associated cancers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:284,Intensive lifestyle intervention
4:21a121b1-edc6-4f27-92d9-a818cb434acd:285,weight reduction of 10% or more in obese people with diabetes or pre-diabetes
4:21a121b1-edc6-4f27-92d9-a818cb434acd:286,Bariatric (metabolic) surgery
4:21a121b1-edc6-4f27-92d9-a818cb434acd:287,Treatment with GLP-1 receptor agonists
4:21a121b1-edc6-4f27-92d9-a818cb434acd:288,Treatment with metformin
4:21a121b1-edc6-4f27-92d9-a818cb434acd:289,Cardio-Renal-Metabolic-Cancer Syndrome approach
4:21a121b1-edc6-4f27-92d9-a818cb434acd:290,looking for cancer at the time of diabetes diagnosis
4:21a121b1-edc6-4f27-92d9-a818cb434acd:291,proactively screening for undiagnosed dysglycemia
4:21a121b1-edc6-4f27-92d9-a818cb434acd:292,primary brain tumor
4:21a121b1-edc6-4f27-92d9-a818cb434acd:293,rapid growth
4:21a121b1-edc6-4f27-92d9-a818cb434acd:294,extensive infiltration
4:21a121b1-edc6-4f27-92d9-a818cb434acd:295,resistance to standard therapies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:296,Glioblastoma stem cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:297,self-renewal capacity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:298,multipotency
4:21a121b1-edc6-4f27-92d9-a818cb434acd:299,regenerate tumor heterogeneity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:300,glioblastoma progression
4:21a121b1-edc6-4f27-92d9-a818cb434acd:301,resistance to chemotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:302,resistance to radiotherapy
4:21a121b1-edc6-4f27-92d9-a818cb434acd:303,tumor recurrence
4:21a121b1-edc6-4f27-92d9-a818cb434acd:304,distinct molecular signatures
4:21a121b1-edc6-4f27-92d9-a818cb434acd:305,enhanced DNA repair
4:21a121b1-edc6-4f27-92d9-a818cb434acd:306,metabolic adaptations
4:21a121b1-edc6-4f27-92d9-a818cb434acd:307,Metabolic adaptations
4:21a121b1-edc6-4f27-92d9-a818cb434acd:308,glioblastoma stem cells against conventional treatments
4:21a121b1-edc6-4f27-92d9-a818cb434acd:309,specialized niches
4:21a121b1-edc6-4f27-92d9-a818cb434acd:310,Specialized niches
4:21a121b1-edc6-4f27-92d9-a818cb434acd:311,perivascular microenvironments
4:21a121b1-edc6-4f27-92d9-a818cb434acd:312,hypoxic microenvironments
4:21a121b1-edc6-4f27-92d9-a818cb434acd:313,stemness
4:21a121b1-edc6-4f27-92d9-a818cb434acd:314,immunosuppression
4:21a121b1-edc6-4f27-92d9-a818cb434acd:315,Notch signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:316,glioblastoma stem cell maintenance
4:21a121b1-edc6-4f27-92d9-a818cb434acd:317,Hedgehog signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:318,STAT3-PARN signaling pathway
4:21a121b1-edc6-4f27-92d9-a818cb434acd:319,TFPI2
4:21a121b1-edc6-4f27-92d9-a818cb434acd:320,HML-2
4:21a121b1-edc6-4f27-92d9-a818cb434acd:321,glioblastoma stem cell plasticity
4:21a121b1-edc6-4f27-92d9-a818cb434acd:322,glioblastoma stem cell immune evasion
4:21a121b1-edc6-4f27-92d9-a818cb434acd:323,Emerging therapeutic strategies
4:21a121b1-edc6-4f27-92d9-a818cb434acd:324,glioblastoma stem cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:325,surface markers
4:21a121b1-edc6-4f27-92d9-a818cb434acd:326,immunotherapeutics
4:21a121b1-edc6-4f27-92d9-a818cb434acd:327,Immunotherapeutics
4:21a121b1-edc6-4f27-92d9-a818cb434acd:328,CAR T cells
4:21a121b1-edc6-4f27-92d9-a818cb434acd:329,metabolic vulnerabilities
